date,DBC,EEM,EFA,FXE,FXY,GLD,IEF,IWM,QQQ,SHY,SPY,TLT,UUP
2016-04-27,-0.11343824844817929,0.0,-0.0756364480277246,0.0,0.16738677289385934,0.11678055609841727,0.16738677289385934,-0.07267193546602571,0.0,0.16738677289385934,0.0,0.11316198827617095,0.0
2016-04-28,-0.11343824844817929,0.0,-0.0756364480277246,0.0,0.16738677289385934,0.11678055609841727,0.16738677289385934,-0.07267193546602571,0.0,0.16738677289385934,0.0,0.11316198827617095,0.0
2016-04-29,-0.11343824844817929,0.0,-0.0756364480277246,0.0,0.16738677289385934,0.11678055609841727,0.16738677289385934,-0.07267193546602571,0.0,0.16738677289385934,0.0,0.11316198827617095,0.0
2016-05-02,-0.11343824844817929,0.0,-0.0756364480277246,0.0,0.16738677289385934,0.11678055609841727,0.16738677289385934,-0.07267193546602571,0.0,0.16738677289385934,0.0,0.11316198827617095,0.0
2016-05-03,-0.11343824844817929,0.0,-0.0756364480277246,0.0,0.16738677289385934,0.11678055609841727,0.16738677289385934,-0.07267193546602571,0.0,0.16738677289385934,0.0,0.11316198827617095,0.0
2016-05-04,-0.11343824844817929,0.0,-0.0756364480277246,0.0,0.16738677289385934,0.11678055609841727,0.16738677289385934,-0.07267193546602571,0.0,0.16738677289385934,0.0,0.11316198827617095,0.0
2016-05-05,-0.11343824844817929,0.0,-0.0756364480277246,0.0,0.16738677289385934,0.11678055609841727,0.16738677289385934,-0.07267193546602571,0.0,0.16738677289385934,0.0,0.11316198827617095,0.0
2016-05-06,-0.11343824844817929,0.0,-0.0756364480277246,0.0,0.16738677289385934,0.11678055609841727,0.16738677289385934,-0.07267193546602571,0.0,0.16738677289385934,0.0,0.11316198827617095,0.0
2016-05-09,-0.11343824844817929,0.0,-0.0756364480277246,0.0,0.16738677289385934,0.11678055609841727,0.16738677289385934,-0.07267193546602571,0.0,0.16738677289385934,0.0,0.11316198827617095,0.0
2016-05-10,-0.11343824844817929,0.0,-0.0756364480277246,0.0,0.16738677289385934,0.11678055609841727,0.16738677289385934,-0.07267193546602571,0.0,0.16738677289385934,0.0,0.11316198827617095,0.0
2016-05-11,-0.11343824844817929,0.0,-0.0756364480277246,0.0,0.16738677289385934,0.11678055609841727,0.16738677289385934,-0.07267193546602571,0.0,0.16738677289385934,0.0,0.11316198827617095,0.0
