date,gross_return,base_cost_return,stressed_cost_return,net_return,stressed_net_return,turnover,gross_leverage,net_exposure,nav,stressed_cost_nav
2012-06-07,0.002588449254922751,2.657934252822095e-05,7.973802758466287e-05,0.0025618699123945298,0.002508711227338088,0.15000000000000002,1.8775022059428434,0.41135842513254095,1.1995829767760648,1.191809845323343
2012-06-08,0.004713916259449962,2.657934252822096e-05,7.973802758466288e-05,0.004687336916921741,0.004634178231865299,0.15000000000000002,1.9082964530907764,0.3638845974970408,1.2052058263480183,1.1973329045650631
2012-06-11,0.0027164066210227556,2.657934252822095e-05,7.973802758466287e-05,0.0026898272784945344,0.0026366685934380925,0.15000000000000002,1.939090700238709,0.3164107698615407,1.2084476218559297,1.2004898746304198
2012-06-12,-0.007048932314358254,2.6579342528220957e-05,7.973802758466287e-05,-0.0070755116568864745,-0.007128670341942917,0.14999999999999997,1.969884947386642,0.26893694222604053,1.1998972366207514,1.1919319780653392
2012-06-13,0.0023098087818233725,2.5993111467236805e-05,7.797933440171039e-05,0.002283815670356136,0.002231829447421662,0.14669161646665047,2.0,0.2225101921213029,1.2026375807325629,1.194592166953309
2012-06-14,-0.007356853477958485,0.0,0.0,-0.007356853477958485,-0.007356853477958485,0.0,2.0,0.2225101921213029,1.193789952264027,1.1858037274151167
2012-06-15,-0.0010041679060895697,0.0,0.0,-0.0010041679060895697,-0.0010041679060895697,0.0,2.0,0.2225101921213029,1.192591186707351,1.184612981369125
2012-06-18,0.005313101415179529,0.0,0.0,0.005313101415179529,0.005313101415179529,0.0,2.0,0.2225101921213029,1.1989275446291765,1.1909069502768774
2012-06-19,-0.011081003364833716,0.0,0.0,-0.011081003364833716,-0.011081003364833716,0.0,2.0,0.2225101921213029,1.1856422244729488,1.1777105063536555
2012-06-20,0.005779401590520016,0.0,0.0,0.005779401590520016,0.005779401590520016,0.0,2.0,0.2225101921213029,1.1924945270308553,1.1845169683272478
2012-06-21,0.019179477009126596,0.0,0.0,0.019179477009126596,0.019179477009126596,0.0,2.0,0.2225101921213029,1.215365948395553,1.2072353842882007
2012-06-22,-0.007248999673103614,0.0,0.0,-0.007248999673103614,-0.007248999673103614,0.0,2.0,0.2225101921213029,1.2065557610329323,1.1984841353821363
2012-06-25,0.004366821691923727,0.0,0.0,0.004366821691923727,0.004366821691923727,0.0,2.0,0.2225101921213029,1.2118245749027263,1.2037177019019494
2012-06-26,-0.0030565435887213955,0.0,0.0,-0.0030565435887213955,-0.0030565435887213955,0.0,2.0,0.2225101921213029,1.2081205802676522,1.2000384862775706
2012-06-27,-0.0004911421612112956,0.0,0.0,-0.0004911421612112956,-0.0004911421612112956,0.0,2.0,0.2225101921213029,1.2075272213148558,1.1994490967818836
2012-06-28,0.004576048270685349,0.0,0.0,0.004576048270685349,0.004576048270685349,0.0,2.0,0.2225101921213029,1.2130529241677592,1.2049378337469874
2012-06-29,-0.030187311014327357,0.0,0.0,-0.030187311014327357,-0.030187311014327357,0.0,2.0,0.2225101921213029,1.1764341182690679,1.1685640006067373
